CODIGO,PROVINCIA,DISTRITO,UNIDADE SANITÁRIA,CLASSIFICAÇÃO,NÍVEL,TIPO DE US,Tipo,Maternidade,Camas Maternidade,Camas Internamento,Camas Total
1020214,Cabo Delgado,Ancuabe,CS Nacuale,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,4,0,4
1020213,Cabo Delgado,Ancuabe,CS Ngewe,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,1,4
1020208,Cabo Delgado,Ancuabe,CS Ntutupue,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,4,0,4
1030210,Nampula,Angoche,CS Abue,Centro de Saúde Urbano Tipo C,Nível Primário,Centro de Saúde Urbano,CS,sim,5,0,5
1030219,Nampula,Angoche,CS Catamoio,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,2,0,2
1030286,Nampula,Angoche,CS Gelo,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,2,0,2
1030206,Nampula,Angoche,CS Inguri,Centro de Saúde Urbano Tipo C,Nível Primário,Centro de Saúde Urbano,CS,sim,0,0,0
1030218,Nampula,Angoche,CS Josina Machel,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,5,0,5
1030217,Nampula,Angoche,CS Malatane,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,0,0,0
1030211,Nampula,Angoche,CS Mepapata,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,0,0,0
1030205,Nampula,Angoche,CS Mirrepe,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,0,0,0
1030212,Nampula,Angoche,CS Mirrere,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,0,0,0
1030221,Nampula,Angoche,CS Mucual,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,0,0,0
1030213,Nampula,Angoche,CS Nacopa,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,não,0,0,0
1030207,Nampula,Angoche,CS Namaponda,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
1030208,Nampula,Angoche,CS Namitoria,Centro de Saúde Urbano Tipo A,Nível Primário,Centro de Saúde Urbano,CS,sim,14,18,32
1030214,Nampula,Angoche,CS Napruma,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,0,0,0
1030209,Nampula,Angoche,CS Natir,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
1030285,Nampula,Angoche,CS Quelelene,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,0,0,0
1030215,Nampula,Angoche,CS Quilua,Centro de Saúde Rural Tipo 1,Nível Primário,Centro de Saúde Rural,CS,sim,0,0,0
1030216,Nampula,Angoche,CS Sangage,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,5,0,5
1030201,Nampula,Angoche,HR Angoche,HR - Hospital Rurais,Nível Secundário,Hospital Rural  (Tipo US),HosPital,sim,22,50,72
1050203,Tete,Angónia,CS Calomue,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,5,0,5
1050216,Tete,Angónia,CS Catondo,Centro de Saúde Urbano Tipo B,Nível Primário,Centro de Saúde Urbano,CS,sim,4,0,4
1050204,Tete,Angónia,CS Chia,Centro de Saúde Urbano Tipo B,Nível Primário,Centro de Saúde Urbano,CS,não,2,0,2
1050208,Tete,Angónia,CS Chimuala,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,4,0,4
1050207,Tete,Angónia,CS Domue,Centro de Saúde Rural Tipo 1,Nível Primário,Centro de Saúde Rural,CS,sim,0,33,33
1050210,Tete,Angónia,CS Lifidzi,Centro de Saúde Rural Tipo 1,Nível Primário,Centro de Saúde Rural,CS,sim,8,0,8
1050214,Tete,Angónia,CS Mpandula,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,4,0,4
1050211,Tete,Angónia,CS Mpenha,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,5,0,5
1050218,Tete,Angónia,CS Mulanguene,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,0,3,3
1050217,Tete,Angónia,CS Ntsedeza,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,2,0,2
1050212,Tete,Angónia,CS Seze,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,0,3,3
1050215,Tete,Angónia,CS Ulongue,Centro de Saúde Urbano Tipo B,Nível Primário,Centro de Saúde Urbano,CS,não,0,0,0
1050213,Tete,Angónia,CS Vila Velha,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
1050200,Tete,Angónia,HR Ulongue,HR - Hospital Rurais,Nível Secundário,Hospital Rural  (Tipo US),HosPital,sim,20,40,60
1020306,Cabo Delgado,Balama,CS Balama,Centro de Saúde Rural Tipo 1,Nível Primário,Centro de Saúde Rural,CS,sim,9,50,59
1020307,Cabo Delgado,Balama,CS Impiri,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,5,3,8
1020308,Cabo Delgado,Balama,CS KueKue,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,4,1,5
1020309,Cabo Delgado,Balama,CS Mavala,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,1,4
1020311,Cabo Delgado,Balama,CS Metata,Centro de Saúde Rural Tipo 1,Nível Primário,Centro de Saúde Rural,CS,não,3,3,6
1020313,Cabo Delgado,Balama,CS Muape,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
1020312,Cabo Delgado,Balama,CS Murripa,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,4,4,8
1020310,Cabo Delgado,Balama,CS Ntete,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,2,0,2
1070110,Sofala,Beira,CS Ceramica,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
1070108,Sofala,Beira,CS Chingussura,Centro de Saúde Urbano Tipo A,Nível Primário,Centro de Saúde Urbano,CS,sim,22,0,22
1070112,Sofala,Beira,CS Chota,Centro de Saúde Urbano Tipo C,Nível Primário,Centro de Saúde Urbano,CS,não,0,0,0
1070103,Sofala,Beira,CS de Inhamizua,Centro de Saúde Urbano Tipo A,Nível Primário,Centro de Saúde Urbano,CS,sim,0,0,0
1070114,Sofala,Beira,CS M. Mascarenha,Centro de Saúde Urbano Tipo B,Nível Primário,Centro de Saúde Urbano,CS,sim,9,0,9
1070113,Sofala,Beira,CS Macurrungo,Centro de Saúde Urbano Tipo A,Nível Primário,Centro de Saúde Urbano,CS,sim,18,0,18
1070104,Sofala,Beira,CS Manga-Loforte,Centro de Saúde Urbano Tipo C,Nível Primário,Centro de Saúde Urbano,CS,sim,3,0,3
1070105,Sofala,Beira,CS Marrocanhe,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
1070106,Sofala,Beira,CS Munhava,Centro de Saúde Urbano Tipo A,Nível Primário,Centro de Saúde Urbano,CS,sim,22,0,22
1070107,Sofala,Beira,CS Nhaconjo,Centro de Saúde Urbano Tipo A,Nível Primário,Centro de Saúde Urbano,CS,sim,20,0,20
1070116,Sofala,Beira,CS Nhangau,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,2,0,2
1070109,Sofala,Beira,CS Ponta Gea,Centro de Saúde Urbano Tipo A,Nível Primário,Centro de Saúde Urbano,CS,sim,24,0,24
1070100,Sofala,Beira,HC Beira,Hospital Central,Nível Quaternário,Hospital Central (Tipo US),HosPital,sim,68,598,666
1070111,Sofala,Beira,PS Chamba,Posto de Saúde,Nível Primário,Posto de Saúde (Tipo US),Posto,não,0,0,0
1070115,Sofala,Beira,PS Matadouro,Posto de Saúde,Nível Primário,Posto de Saúde (Tipo US),Posto,não,0,0,0
1090210,Gaza,Bilene,CS Incaia,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,8,0,8
1090206,Gaza,Bilene,CS Macia,Centro de Saúde Rural Tipo 1,Nível Primário,Centro de Saúde Rural,CS,sim,12,29,41
1090208,Gaza,Bilene,CS Mamonho,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,6,0,6
1090216,Gaza,Bilene,CS Mangol,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,4,0,4
1090212,Gaza,Bilene,CS Mazivila,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,não,4,0,4
1090213,Gaza,Bilene,CS Messano,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,6,0,6
1090214,Gaza,Bilene,CS Olombe,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,4,0,4
1090207,Gaza,Bilene,CS Praia de Bilene,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
1090215,Gaza,Bilene,CS Tuane,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,4,0,4
1100210,Maputo Provincia,Boane,CS Beleluane,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,7,0,7
1100206,Maputo Provincia,Boane,CS Boane,Centro de Saúde Rural Tipo 1,Nível Primário,Centro de Saúde Rural,CS,sim,20,21,41
1100207,Maputo Provincia,Boane,CS Campuane,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,6,0,6
1100217,Maputo Provincia,Boane,CS Escola Pratica de Formacao de Sargentos,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,não,0,0,0
1100219,Maputo Provincia,Boane,CS Josina Machel,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,2,0,2
1100211,Maputo Provincia,Boane,CS Mabanja,Centro de Saúde Rural Tipo 1,Nível Primário,Centro de Saúde Rural,CS,sim,9,0,9
1100205,Maputo Provincia,Boane,CS Mahanhane,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,não,3,0,3
1100208,Maputo Provincia,Boane,CS Mahubo,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,4,0,4
1100209,Maputo Provincia,Boane,CS Massaca,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,4,0,4
1100218,Maputo Provincia,Boane,CS Mulotana,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,4,0,4
1100216,Maputo Provincia,Boane,CS Picoco,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,6,0,6
1100214,Maputo Provincia,Boane,PS Casa Gaiato,Posto de Saúde,Nível Primário,Posto de Saúde (Tipo US),Posto,não,0,0,0
1100212,Maputo Provincia,Boane,PS Matola-Rio,Posto de Saúde,Nível Primário,Posto de Saúde (Tipo US),Posto,não,8,0,8
1100213,Maputo Provincia,Boane,PS Pequenos Libombos,Posto de Saúde,Nível Primário,Posto de Saúde (Tipo US),Posto,não,0,0,0
1100215,Maputo Provincia,Boane,PS Águas de Maputo,Posto de Saúde,Nível Primário,Posto de Saúde (Tipo US),Posto,não,0,0,0
1070207,Sofala,Buzi,CS Ampara,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
1070206,Sofala,Buzi,CS Bandua,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
1070209,Sofala,Buzi,CS Barada,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,4,0,4
1070210,Sofala,Buzi,CS Bura,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
1070211,Sofala,Buzi,CS Chissinguana,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
1070220,Sofala,Buzi,CS Danga,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
1070212,Sofala,Buzi,CS Estaquinha,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,6,0,6
1070216,Sofala,Buzi,CS Grudja,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,4,0,4
1070217,Sofala,Buzi,CS Guara-Guara,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
1070208,Sofala,Buzi,CS Inhamichindo,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,4,0,4
1070267,Sofala,Buzi,CS Inhavininga,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
1070215,Sofala,Buzi,CS Marombe,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
1070200,Sofala,Buzi,HR  Buzi,HR - Hospital Rurais,Nível Secundário,Hospital Rural  (Tipo US),HosPital,sim,27,32,59
1070214,Sofala,Buzi,PS Rio Buzi,Posto de Saúde,Nível Primário,Posto de Saúde (Tipo US),Posto,não,0,0,0
1060214,Manica,Bárue,CS Barauro,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,2,0,2
1060207,Manica,Bárue,CS Cagore,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
1060215,Manica,Bárue,CS Catandica,Centro de Saúde Urbano Tipo C,Nível Primário,Centro de Saúde Urbano,CS,sim,0,0,0
1060216,Manica,Bárue,CS Chuala,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
1060206,Manica,Bárue,CS Cruz. Macossa,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
1060208,Manica,Bárue,CS Honde,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,4,0,4
1060218,Manica,Bárue,CS Munene,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
1060217,Manica,Bárue,CS Mussianharo,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
1060210,Manica,Bárue,CS Nhampassa,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,4,0,4
1060211,Manica,Bárue,CS Nhassacara,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
1060209,Manica,Bárue,CS Nhazonia,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,4,0,4
1060212,Manica,Bárue,CS Phanze,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,2,0,2
1060213,Manica,Bárue,CS Serra Choa,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
1060200,Manica,Bárue,HD Catandica,HD - Hospital Distritais,Nível Secundário,Hospital Distrital (Tipo US),HosPital,sim,30,72,102
1050306,Tete,Cahora Bassa,CS chinhanda,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
1050313,Tete,Cahora Bassa,CS Chintholo,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
1050314,Tete,Cahora Bassa,CS Chipalapala,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
1050309,Tete,Cahora Bassa,CS Chirodze-Ponte,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,2,0,2
1050308,Tete,Cahora Bassa,CS Chitima,Centro de Saúde Rural Tipo 1,Nível Primário,Centro de Saúde Rural,CS,sim,15,56,71
1050312,Tete,Cahora Bassa,CS Maroeira,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
1050310,Tete,Cahora Bassa,CS NhacapiririI,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
1050311,Tete,Cahora Bassa,CS Nhambalo,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,4,0,4
1050202,Tete,Cahora Bassa,CS Songo,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,0,0,0
1050301,Tete,Cahora Bassa,HR Songo,HR - Hospital Rurais,Nível Secundário,Hospital Rural  (Tipo US),HosPital,sim,26,65,91
1070356,Sofala,Caia,CS Chatala,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
1070310,Sofala,Caia,CS Deve,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,2,0,2
1070314,Sofala,Caia,CS Kapassene,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
1070305,Sofala,Caia,CS Licoma,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
1070308,Sofala,Caia,CS Murraça,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,5,5,10
1070307,Sofala,Caia,CS Murrema,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
1070311,Sofala,Caia,CS Ndoro,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,2,0,2
1070315,Sofala,Caia,CS Nhambalo,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,2,0,2
1070309,Sofala,Caia,CS Ntopa,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,0,0,0
1070312,Sofala,Caia,CS Sena,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,7,6,13
1070306,Sofala,Caia,HD Caia,HD - Hospital Distritais,Nível Secundário,Hospital Distrital (Tipo US),HosPital,sim,37,0,37
1070320,Sofala,Caia,PS Nhamatanda,Posto de Saúde,Nível Primário,Posto de Saúde (Tipo US),Posto,sim,0,0,0
1050414,Tete,Changara,CS Banga,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,0,0,0
1050406,Tete,Changara,CS Changara,Centro de Saúde Rural Tipo 1,Nível Primário,Centro de Saúde Rural,CS,sim,6,14,20
1050407,Tete,Changara,CS Chioco,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
1050408,Tete,Changara,CS Chipembere,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,4,0,4
1050409,Tete,Changara,CS Dzunga,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,4,0,4
1050410,Tete,Changara,CS Goba,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,não,3,0,3
1050416,Tete,Changara,CS M'palamabue,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,4,0,4
1050415,Tete,Changara,CS M'saua,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,4,0,4
1050412,Tete,Changara,CS Nachinanga,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,não,2,0,2
1050413,Tete,Changara,CS Ntemangau,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,4,0,4
1070408,Sofala,Chemba,CS 3 Fevereiro,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,2,0,2
1070459,Sofala,Chemba,CS Cado,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
1070439,Sofala,Chemba,CS Catuele,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,6,0,6
1070410,Sofala,Chemba,CS Chemba-Sede,Centro de Saúde Rural Tipo 1,Nível Primário,Centro de Saúde Rural,CS,sim,6,18,24
1070407,Sofala,Chemba,CS Chiramba,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,2,0,2
1070412,Sofala,Chemba,CS Goe,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,4,0,4
1070406,Sofala,Chemba,CS Mulima,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,2,5
1070457,Sofala,Chemba,CS Senhabuzua,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,6,0,6
1070414,Sofala,Chemba,PS Jequecene,Posto de Saúde,Nível Primário,Posto de Saúde (Tipo US),Posto,não,0,0,0
1070508,Sofala,Cheringoma,CS Chite,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,2,0,2
1070500,Sofala,Cheringoma,CS Inhaminga,Centro de Saúde Rural Tipo 1,Nível Primário,Centro de Saúde Rural,CS,sim,12,40,52
1070511,Sofala,Cheringoma,CS Inhamitanga,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,5,0,5
1070510,Sofala,Cheringoma,CS Maciaboza,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,2,0,2
1070509,Sofala,Cheringoma,CS Mazamba,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
1070507,Sofala,Cheringoma,CS Nhataca,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,não,0,0,0
1070506,Sofala,Cheringoma,CS Pungue,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,2,0,2
1070606,Sofala,Chibabava,CS Chibabava-Sede,Centro de Saúde Rural Tipo 1,Nível Primário,Centro de Saúde Rural,CS,sim,4,16,20
1070617,Sofala,Chibabava,CS Chinhica,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
1070616,Sofala,Chibabava,CS Goonda,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
1070609,Sofala,Chibabava,CS Hoode,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
1070615,Sofala,Chibabava,CS Magunde,Centro de Saúde Rural Tipo 1,Nível Primário,Centro de Saúde Rural,CS,sim,5,0,5
1070614,Sofala,Chibabava,CS Mucheve,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
1070610,Sofala,Chibabava,CS Mulingue,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,4,0,4
1070604,Sofala,Chibabava,CS Mutindire,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,6,0,6
1070608,Sofala,Chibabava,CS Nhango,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,2,0,2
1070611,Sofala,Chibabava,CS Panja,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
1070613,Sofala,Chibabava,CS Revue,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
1070612,Sofala,Chibabava,CS Tronga,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
